id,answer
0,web xhtml html way combination
1,nexus worldwideweb
2,engine 's process rendering transformed passed known layout browser
3,files information web servers systems file world networks wide
4,development use 1.0 2004 versions beta 7 following % stage browser
5,industry microsoft mosaic war
6,web % apple april january safari 2003 beta 7 browsing release share 2011 market
7,files ftp protocol variety transfer prefixes browsers file
8,andreessen marc
9,tim berners-lee
10,web product explorer windows january innovation system competition choice browsers operating systems internet consumer microsoft european
11,industry war microsoft mosaic browser
12,suites chat relay web e-mail browsers usenet components internet news
13,lock-in sales applications way respect microsoft
14,program computer functionality extension web
15,web % apple april january share 2003 7 browsing 2011 market browser
16,web product explorer windows january innovation system competition choice browsers operating systems internet 2009 consumer microsoft
17,files protocol https variety transfer prefixes browsers file
18,web option today
19,kind resource transfer hypertext uri protocol
20,web variety interfaces html user file formats protocols
21,industry 1995 war mosaic browser
22,8 2011 16
23,web information application presenting wide world software
24,may internet user-base explorer versions
25,addition web feed form aggregator
26,web december usage 8 2011 browser
27,wide 1993 marc system person web andreessen world browser software
28,source model attempt netscape software
29,web apple january share beta safari browsing release market
30,interoperability web problems
31,prefix identifier resource uri uniform
32,foundation attempt mozilla source model browser software
33,files information wide systems file world networks
34,industry war microsoft mosaic browser
35,current vulnerabilities security web
36,web use % center national share netscape applications browsers team usage world navigator leader mosaic browser
37,web javascript component browsers interpreter data persistence
38,commercial
39,blockers browsers user pop-up
40,web information application presenting wide world browser software
41,development use % versions release beta following browser stage
42,stores contents
43,web links information display user browser navigation retrieval resources purpose
44,september 2008 entrant market browser
45,prefix identifier resource uri uniform
46,web use % center national share netscape applications team usage world navigator company leader mosaic
47,information web servers systems world networks wide
48,customers apple mobile computers ios sales devices part experience safari
49,customers apple mobile computers ios sales devices part experience x
50,resource target process uri content link browser
51,web % windows share usage dominance market browser
52,mailto e-mail default uris application newsgroup reader example
53,web extension
54,activities march city obelisk rights protesters human hall
55,lama group chinese may text company dalai hypermart april call rooms chat funds messaging boycott weekend lvmh
56,jin jing
57,celebrations protests route targets indian republic authorities day
58,olympic activist jorge carcavallo
59,bedi kiran
60,beijing
61,route
62,beijing citizen
63,media bias
64,public lot parking
65,galschiøt
66,4
67,distinction flame
68,cancelling city relay request concerns security
69,arrival olympic canberra shea people flame agnes
70,attendants mainland route flame china
71,relay public lot parking
72,stephen smith
73,boycotts carrefour chain racism hefei nation wuhan kunming conspiracy cities
74,alliot-marie michèle
75,spectators separatists chinese students torch call degenerate scum police australian powers scholars association
76,april olympic torch petersburg saint
77,cathedral notre tower eiffel dame
78,1 9 2008
79,relay 18 visit april flame thailand
80,shoichi washizawa
81,alliance group democracy color jens shame structure orange pillar sculptor
82,pakistan olympic time april 16
83,politicians total event camp
84,street
85,airbus olympic b-6075 games torch air china party a330
