id,answer
0,web way combination
1,nexus renamed later worldwideweb
2,rendering
3,wide information file web
4,development use 1.0 2004 versions beta 7 following % stage browser
5,industry microsoft mosaic war
6,web % apple april january safari 2003 beta 7 browsing release share 2011 market
7,ftp transfer file variety
8,andreessen marc
9,tim berners-lee
10,web product system competition choice operating innovation consumer
11,industry war browser
12,e-mail internet web news
13,lock-in sales applications way respect microsoft
14,program computer functionality extension web
15,web % apple april january share 2003 7 browsing 2011 market browser
16,web product explorer windows january innovation system competition choice browsers operating systems internet 2009 consumer microsoft
17,transfer file variety
18,web option today
19,transfer kind resource uri hypertext
20,web user file variety
21,industry 1995 war mosaic browser
22,8 2011 16
23,web information application presenting software wide
24,user-base
25,addition web feed form aggregator
26,web december usage 8 2011 browser
27,wide 1993 marc system person web andreessen world browser software
28,source model attempt software
29,web share beta browsing release market
30,web interoperability
31,prefix
32,source model software attempt browser
33,wide file information
34,industry war browser
35,vulnerabilities
36,web use % share team usage world leader browser
37,web component data persistence interpreter
38,commercial companies
39,user pop-up
40,web information application presenting wide browser software
41,development use % release beta following browser stage
42,included traditional stores displays contents
43,web links information display user browser navigation retrieval purpose
44,september 2008 entrant market browser
45,prefix
46,web use % company share team usage world leader
47,information web servers systems world networks wide
48,part experience
49,customers apple mobile computers ios sales devices part experience x
50,resource target process content link browser
51,web % share usage dominance market browser
52,mailto e-mail default application newsgroup reader example
53,web extension
54,activities march city obelisk rights protesters human hall
55,lama group chinese may text company dalai hypermart april call rooms chat funds messaging boycott weekend lvmh
56,jin jing
57,route
58,activist
59,bedi kiran
60,beijing
61,route
62,beijing citizen
63,media bias
64,public lot parking
65,galschiøt
66,hainan sanya may chan jackie 4 committee international ioc
67,distinction flame
68,cancelling city security request relay
69,arrival flame
70,route flame
71,relay public lot parking
72,stephen smith
73,conspiracy racism chain nation
74,alliot-marie michèle
75,spectators separatists chinese students torch call degenerate scum police australian powers scholars association
76,torch
77,cathedral
78,1 9 2008
79,relay 18 visit april flame thailand
80,shoichi washizawa
81,group democracy pillar shame sculptor structure
82,pakistan olympic time april 16
83,politicians total event camp
84,street
85,party torch
86,text shareholder hypermart call chat messaging weekend
87,arena city great relay leg host april britain part summer stadium 6 olympics wembley o2 2012
88,korea north
89,"£750,000"
90,olympic handful libération chinese agency saboteurs slap face press state flame newspaper
91,olympic reporting libération chinese agency saboteurs slap face press state flame handful newspaper
92,attempt scuffles throwing protesters water incidents communities flame balloons supporters
93,pyongyang
94,broadcast partial western chinese
95,route reading
96,following beijing passing continents
97,seven
98,treatment
99,partial western
100,wharf fisherman macau
101,world torch name
102,arena city great relay leg britain april host part summer stadium olympics wembley
103,event public
104,website claim little torch angel relay athlete official mention – much western attention heroic
105,remain whole supposed relay
106,exile disruption torch government
107,beijing citizen
108,water
109,6 o2 2012
110,lola mora aires buenos
111,city 's relay request km embassy stadium security main round
112,2
113,beijing
114,trocadéro forbidden everywhere except
115,stephen smith
116,arrangement
117,support activist novelty democracy
118,edition torch time
119,torch time
120,leg reasons times protest officials security
121,china uighur back deported
122,praise
123,bus security move
124,briefly though mia farrow enter also officials allowed hollywood
125,beijing olympic march game committees 2008 cause participation
126,stanhope jon
127,14
128,ted quinlan
129,olympic protests government paris disruptions france thought britain london spirit laws
130,alliance torch lee vice support government yan china chairman image cheuk response movements
131,event
132,aluminum
133,place
134,donald tsang
135,nagano
136,jens galschiøt
137,relay coverage
138,president organization crisis situation
139,personnel day unit
140,event
141,may 3 event macau
142,gyatso thupten
143,celebrations protests relay route targets indian republic authorities security day
144,calmly 's people daily aspiration urged rationally orderly manner editorial patriotic enthusiasm demonstrations response legal
145,24 8 one
146,60 7
147,chinese leg reasons paris protest officials extinguished several
148,organizations force show pro-china rights protesters air slogans nationalists check
149,minh city chi 29 april ho event
150,reported incidents
151,one
152,enthusiasm aspiration response editorial
153,event spirit
154,libération
155,world torch tax evasion
156,distance journey harmony tradition
157,front flag embassy
158,alliot-marie michèle
159,24
160,24 summer march august one theme olympics world 8 dream
161,protests notre eiffel protest reporters cathedral borders banner tower dame
162,april olympic 5 russia
163,huq konnie richard vaughan
164,beijing olympic rights torch april supervisors concerns board resolution
165,chartered yellow red
166,flame relay
167,piece
168,prager susan
169,chairman
170,agency mission event stunt propaganda awareness staff
171,chan jackie
172,ceremony town relay bus request hall
173,ceremony track security relay
174,torch time
175,summer march august theme world dream
176,resident message cyberctm.com
177,edition time
178,journalists
179,distinction flame
180,torch
181,two 40
182,jane birkin
183,24 8 one
184,city main stadium
185,alliance lee relay vice support government yan china chairman image cheuk response movements
186,woman activist event
187,also accused libération
188,world theme dream
189,torch
190,chinese leg reasons torch times paris officials extinguished security
191,torch china
192,given terrorist associated indian relay wary considered route shorten celebrations day decided republic authorities protests security normally targets
193,waved supporters chinese enthusiastic large flags shirts red wore
194,"130 137,000 21 85,000"
195,shoichi washizawa
196,exile disruption olympic government
197,jane birkin
198,propane
199,relay protesting away later forcefully placards day
200,olympic relay tokyo 1964 edition time
201,reporting libération agency slap face flame handful
202,relay dragon tin vessel hau boat history
203,control spiral anti-japanese situation response recent
204,attended officials like chinese may big chan jackie hainan celebrations arrived 4 committee international ioc sanya
205,flame route reading banner day
206,flag
207,surprise city
208,turkey square taksim sultanahmet
209,group citizenship relay crowd confrontation child
210,stop international disagreement part domestic
211,bhutia baichung
212,nagano
213,lama carrefour chinese may text company shareholder dalai funds hypermart april call rooms chat messaging china boycott weekend
214,turkey square relay leg sultanahmet april 3 taksim
215,website vow event relay spirit
216,central event km
217,ban route torch congregation km
218,text shareholder hypermart call chat messaging weekend
219,1
220,role minority crisis
221,oman muscat
222,ced
223,4.5
224,3 demands
225,relay government image torch chairman vice response
226,warehouse confusion half-an-hour waterfront pier
227,law relay torch blog politicisation student territory
228,world theme torch dream relay
229,beijing relay paralympic torch june games organizing
230,yongkang liu yandong zhou
231,distance journey harmony relay tradition
232,time
233,torch call degenerate
234,represent among fully could list daily criticized macanese non-athletes published article news
235,ceremony head unrest speech committee security
236,square astana
237,seven
238,carrefour chinese may text company shareholder funds hypermart april call rooms chat messaging china boycott weekend lvmh group
239,grove ladbroke
240,list daily macanese non-athletes news article
241,distance journey harmony tradition
242,conference news flame
243,website claim attention relay angel paralympic torch mention – chinese athlete
244,beijing
245,olympic april 5 petersburg saint arrived
246,forum government sohu.com washington times april censorship internet situation
247,may 3 macau
248,notre dame
249,tanzania africa
250,ceremony disruption lighting example turn
251,thought spirit relay government
252,chaotic
253,represent among fully could list daily criticized macanese non-athletes published article news macao
254,2
255,consulates messages flag embassy flags nazism swastika
256,arena relay leg torch host part
257,torch resolution
258,route flame
259,nazarbaev ever nursultan april 2 time president kazakhstan
260,china
261,nguyễn dũng tấn
262,macau
263,olympic based relay government support meanwhile disruption exile stated tibetan
264,coverage extent
265,protests
266,soha khan ali
267,ceremony turn torch disruption lighting example
268,flame
269,stop
270,india
271,torchbearer
272,ancient rest cities visited along silk
273,tony goh
274,chinese forum sohu.com censorship internet popular situation
275,cathedral protest banner
276,torch relay leg football part captain
277,enthusiasm aspiration response editorial manner
278,leg
279,resident relay cyberctm.com macau people
280,chakrabongse narisa
281,represent fully could list daily macanese non-athletes published news many macao
282,beijing paralympic games planned committee organizing announced
283,olympic celebrations may chan jackie officials 4 committee international ioc names
284,aaron newsom peskin gavin
285,olympic attended officials like chinese may big chan jackie hainan celebrations arrived 4 committee international ioc sanya
286,world theme torch dream relay
287,yes
288,identical notre eiffel symbolic scaling including organised tower several dame
289,ceremony turn torch disruption lighting coverage example
290,april police 16
291,trocadéro torch tibetan relay
292,lola relay show leg april aires buenos costanera mora amphitheatre sur
293,trocadéro
294,torchbearers sulaf fawakherji
295,trocadéro
296,report olympics daily people
297,backup flames times
298,cathedral protest
299,nuisance leg
300,city nuisance torch relay leg
301,activities march rights obelisk torch protesters human
302,edition torch time
303,claim angel paralympic torch – jing described chinese jin media whereas also much gave website initially attention reported western garnered despite heroic mention athlete official
304,city great nuisance relay leg
305,runner confusion half-an-hour waterfront pier
306,beijing paralympic torch june games committee organizing
307,torch
308,laurel sutherlin
309,lin hatfield dodds
310,"130 137,000 21 85,000"
311,ueberroth peter
312,forums
313,text shareholder hypermart call chat messaging weekend
314,city relay jakarta torch km embassy stadium islamabad worries security main round
315,pyongyang
316,city relay government 1200 us france 3000 uk security operative
317,summer march august relay torch theme world dream
318,union living conditions relay
319,total
320,part torch leg
321,supporting chinese articles media however published crowds
322,11 lola show leg april sur costanera argentina mora amphitheatre
323,olympic hainan like chinese may big chan jackie sanya officials arrived 4 committee international ioc names
324,summer 27 1988 april korea event south
325,tokyo
326,30
327,shea agnes
328,2 37 65 50
329,number
330,protests stadium
331,islamabad
332,website coverage network cable government
333,nazarbaev nursultan
334,islamabad jinnah stadium
335,beijing committees air carrier china march 2008 cause participation
336,sen nirupama
337,beijing olympic torch 1 april supervisors concerns board 9 2008
338,stade paris eiffel charléty april 7 tower
339,rights
340,jakarta islamabad
341,note head said chinese relay reaction taking torch ted number community n't high committee quinlan
342,"10,000 2,000 600"
343,website politicisation relay torch blog student territory law
344,china
345,flame relay
346,olympic macau time
347,support coverage extent
348,relay paralympic torch june games committee organizing
349,24 olympia birthplace march 31 athens panathinaiko games stadium greece
350,square independence
351,weather set
352,paul danahar
353,spelling g4 description a4 temperament
354,hz scale number
355,frequency
356,distance piano keyboard number space
357,indefinite specific neatly correspond words
358,100
359,vibrate air intensity frequency amplitude nothing wave
360,high rapid
361,no
362,fundamental
363,west temperament scale tuning organization
364,spelling notion a4 temperament
365,no
366,distance a440 space number keyboard piano
